#trial,samples,#result,age,education-num
0,1024,0,10.0,2.0
0,512,0,20.0,17.0
0,512,1,21.0,14.0
0,512,2,47.0,13.0
0,512,3,62.0,11.0
0,512,4,63.0,10.0
0,128,0,22.0,14.0
0,128,1,108.0,11.0
0,64,0,11.0,1.0
0,64,1,19.0,0.0
0,32,0,12.0,14.0
0,32,1,34.0,8.0
0,32,2,51.0,2.0
1,512,0,21.0,14.0
1,512,1,22.0,10.0
1,512,2,120.0,9.0
1,128,0,38.0,6.0
1,128,1,62.0,4.0
1,64,0,41.0,13.0
1,64,1,43.0,12.0
1,64,2,47.0,11.0
1,64,3,49.0,10.0
1,64,4,61.0,9.0
1,64,5,63.0,8.0
1,32,0,5.0,1.0
1,32,1,7.0,0.0
2,1024,0,1.0,0.0
2,512,0,1.0,0.0
2,128,0,36.0,12.0
2,128,1,56.0,2.0
2,64,0,37.0,12.0
2,64,1,62.0,3.0
2,64,2,65.0,0.0
2,32,0,28.0,9.0
3,1024,0,1.0,0.0
3,512,0,4.0,3.0
3,128,0,46.0,18.0
3,128,1,52.0,9.0
3,128,2,59.0,6.0
3,64,0,15.0,8.0
3,64,1,27.0,4.0
3,32,0,22.0,2.0
4,1024,0,11.0,8.0
4,1024,1,27.0,4.0
4,512,0,11.0,8.0
4,512,1,26.0,5.0
4,512,2,27.0,4.0
4,128,0,28.0,1.0
4,32,0,20.0,4.0
