#trial,samples,#result,age,education-num
1,1024,0,9.0,6.0
1,1024,1,38.0,5.0
1,1024,2,40.0,3.0
1,256,0,3.0,6.0
1,256,1,26.0,4.0
2,1024,0,4.0,3.0
2,512,0,13.0,8.0
2,512,1,27.0,4.0
2,256,0,20.0,8.0
2,256,1,27.0,4.0
3,512,0,43.0,8.0
3,256,0,7.0,0.0
4,1024,0,15.0,8.0
4,1024,1,63.0,6.0
4,1024,2,65.0,4.0
4,512,0,10.0,3.0
4,256,0,10.0,8.0
4,256,1,77.0,4.0
5,1024,0,24.0,10.0
5,256,0,5.0,6.0
5,256,1,26.0,0.0
6,1024,0,50.0,16.0
6,1024,1,53.0,10.0
6,1024,2,71.0,8.0
6,1024,3,91.0,6.0
6,256,0,21.0,16.0
6,256,1,75.0,8.0
6,256,2,85.0,4.0
7,256,0,19.0,7.0
8,1024,0,13.0,12.0
8,1024,1,20.0,4.0
8,1024,2,40.0,3.0
8,512,0,11.0,9.0
8,512,1,17.0,4.0
8,256,0,54.0,15.0
8,256,1,56.0,8.0
9,512,0,32.0,8.0
9,512,1,45.0,5.0
9,256,0,14.0,1.0
10,1024,0,65.0,14.0
10,512,0,23.0,14.0
10,256,0,44.0,3.0
11,1024,0,28.0,9.0
11,1024,1,43.0,8.0
11,1024,2,64.0,5.0
11,512,0,28.0,9.0
11,512,1,29.0,3.0
11,256,0,63.0,15.0
11,256,1,88.0,14.0
11,256,2,104.0,13.0
11,256,3,112.0,9.0
11,256,4,131.0,5.0
12,1024,0,1.0,0.0
12,512,0,1.0,0.0
12,256,0,14.0,4.0
13,1024,0,23.0,14.0
13,1024,1,42.0,13.0
13,1024,2,52.0,10.0
13,512,0,23.0,14.0
13,512,1,42.0,10.0
13,256,0,21.0,12.0
13,256,1,40.0,11.0
14,1024,0,49.0,23.0
14,1024,1,62.0,8.0
14,1024,2,63.0,6.0
14,512,0,26.0,4.0
14,256,0,16.0,7.0
15,1024,0,10.0,2.0
15,512,0,10.0,2.0
15,256,0,30.0,24.0
15,256,1,41.0,22.0
15,256,2,60.0,21.0
16,1024,0,22.0,16.0
16,512,0,19.0,14.0
16,512,1,22.0,10.0
16,512,2,33.0,8.0
16,256,0,19.0,14.0
16,256,1,22.0,10.0
16,256,2,33.0,8.0
17,1024,0,9.0,8.0
17,1024,1,10.0,2.0
17,512,0,11.0,8.0
17,512,1,34.0,6.0
17,512,2,44.0,4.0
17,256,0,30.0,14.0
17,256,1,40.0,4.0
18,1024,0,15.0,8.0
18,512,0,17.0,6.0
18,512,1,41.0,4.0
18,256,0,17.0,6.0
18,256,1,56.0,4.0
19,1024,0,10.0,2.0
19,1024,1,12.0,1.0
19,512,0,10.0,2.0
19,512,1,12.0,1.0
20,1024,0,9.0,8.0
20,1024,1,42.0,4.0
20,512,0,28.0,8.0
20,512,1,39.0,7.0
20,512,2,76.0,5.0
20,256,0,37.0,17.0
20,256,1,39.0,7.0
20,256,2,42.0,5.0
20,256,3,108.0,4.0
21,1024,0,2.0,0.0
21,512,0,2.0,0.0
21,256,0,27.0,22.0
21,256,1,29.0,8.0
21,256,2,43.0,4.0
22,512,0,22.0,10.0
23,512,0,33.0,9.0
23,256,0,38.0,17.0
23,256,1,41.0,10.0
23,256,2,121.0,8.0
24,512,0,58.0,11.0
24,512,1,71.0,8.0
24,512,2,72.0,4.0
24,256,0,55.0,8.0
24,256,1,74.0,4.0
25,1024,0,55.0,8.0
25,1024,1,57.0,4.0
25,512,0,49.0,18.0
25,512,1,54.0,8.0
26,1024,0,78.0,20.0
26,1024,1,92.0,6.0
26,512,0,26.0,2.0
26,512,1,28.0,1.0
26,256,0,53.0,5.0
27,1024,0,4.0,3.0
27,512,0,4.0,3.0
27,256,0,9.0,3.0
28,512,0,24.0,22.0
28,512,1,48.0,10.0
28,256,0,14.0,10.0
29,256,0,33.0,13.0
30,1024,0,71.0,7.0
30,1024,1,195.0,6.0
30,512,0,41.0,8.0
30,256,0,33.0,0.0
31,512,0,18.0,7.0
31,512,1,29.0,3.0
31,256,0,18.0,7.0
31,256,1,24.0,6.0
32,1024,0,4.0,3.0
32,512,0,7.0,12.0
32,512,1,10.0,3.0
32,256,0,7.0,12.0
32,256,1,10.0,3.0
33,1024,0,65.0,7.0
33,512,0,10.0,3.0
33,256,0,10.0,3.0
34,1024,0,1.0,0.0
34,512,0,1.0,0.0
34,256,0,3.0,6.0
34,256,1,90.0,5.0
35,1024,0,1.0,0.0
35,512,0,1.0,0.0
35,256,0,1.0,0.0
36,1024,0,12.0,1.0
36,512,0,26.0,9.0
36,512,1,62.0,8.0
36,512,2,106.0,5.0
36,256,0,6.0,3.0
37,1024,0,12.0,1.0
38,1024,0,1.0,0.0
38,512,0,4.0,3.0
38,256,0,4.0,3.0
39,1024,0,53.0,4.0
39,256,0,3.0,3.0
40,1024,0,41.0,8.0
40,512,0,35.0,4.0
40,256,0,6.0,9.0
40,256,1,9.0,4.0
43,1024,0,12.0,1.0
43,512,0,10.0,2.0
43,512,1,12.0,1.0
43,256,0,8.0,0.0
44,512,0,10.0,3.0
44,256,0,10.0,3.0
45,1024,0,19.0,14.0
45,512,0,28.0,14.0
45,512,1,36.0,12.0
45,256,0,22.0,14.0
46,1024,0,37.0,14.0
46,1024,1,47.0,10.0
46,1024,2,55.0,8.0
46,1024,3,66.0,6.0
46,256,0,22.0,10.0
47,1024,0,10.0,2.0
47,1024,1,14.0,1.0
47,512,0,23.0,14.0
47,256,0,23.0,14.0
48,1024,0,9.0,8.0
48,512,0,13.0,8.0
48,512,1,77.0,6.0
48,512,2,81.0,5.0
48,256,0,50.0,9.0
48,256,1,55.0,8.0
48,256,2,61.0,7.0
48,256,3,78.0,6.0
49,1024,0,64.0,23.0
49,1024,1,110.0,14.0
49,512,0,27.0,15.0
49,512,1,107.0,11.0
49,256,0,4.0,6.0
49,256,1,5.0,3.0
51,512,0,41.0,8.0
51,256,0,38.0,12.0
51,256,1,62.0,10.0
51,256,2,72.0,8.0
51,256,3,76.0,5.0
51,256,4,110.0,4.0
52,1024,0,4.0,3.0
52,1024,1,10.0,2.0
52,512,0,10.0,2.0
52,256,0,10.0,2.0
53,1024,0,24.0,10.0
53,1024,1,29.0,4.0
53,512,0,24.0,10.0
53,256,0,13.0,0.0
54,512,0,33.0,10.0
54,512,1,40.0,2.0
54,256,0,40.0,2.0
55,1024,0,55.0,17.0
55,1024,1,89.0,14.0
55,512,0,56.0,20.0
55,512,1,65.0,18.0
55,512,2,68.0,15.0
55,512,3,77.0,14.0
56,1024,0,22.0,14.0
56,512,0,23.0,14.0
56,512,1,35.0,12.0
56,256,0,23.0,26.0
56,256,1,24.0,12.0
57,1024,0,37.0,10.0
57,1024,1,50.0,8.0
57,1024,2,70.0,6.0
57,512,0,45.0,2.0
57,256,0,68.0,13.0
57,256,1,112.0,11.0
57,256,2,146.0,10.0
58,1024,0,4.0,3.0
58,1024,1,12.0,1.0
58,512,0,4.0,3.0
58,512,1,12.0,1.0
58,256,0,12.0,1.0
59,1024,0,28.0,9.0
59,1024,1,81.0,8.0
59,1024,2,146.0,6.0
59,256,0,30.0,8.0
59,256,1,46.0,6.0
59,256,2,174.0,5.0
61,1024,0,4.0,3.0
61,512,0,4.0,3.0
61,256,0,17.0,14.0
61,256,1,24.0,8.0
61,256,2,32.0,4.0
61,256,3,54.0,0.0
62,1024,0,1.0,0.0
62,512,0,1.0,0.0
62,256,0,60.0,10.0
62,256,1,70.0,6.0
62,256,2,83.0,4.0
63,1024,0,50.0,8.0
63,1024,1,84.0,6.0
63,1024,2,96.0,4.0
63,512,0,54.0,8.0
63,512,1,152.0,6.0
63,256,0,34.0,16.0
63,256,1,38.0,6.0
63,256,2,95.0,4.0
64,1024,0,41.0,18.0
64,1024,1,44.0,8.0
64,512,0,44.0,8.0
64,512,1,48.0,6.0
65,1024,0,43.0,9.0
65,1024,1,54.0,5.0
65,512,0,41.0,4.0
65,256,0,41.0,4.0
66,512,0,39.0,11.0
66,512,1,41.0,4.0
66,512,2,57.0,2.0
66,256,0,14.0,17.0
66,256,1,23.0,14.0
66,256,2,39.0,11.0
66,256,3,57.0,10.0
66,256,4,59.0,9.0
66,256,5,95.0,8.0
67,1024,0,37.0,10.0
67,1024,1,43.0,8.0
67,256,0,47.0,8.0
68,1024,0,82.0,13.0
68,1024,1,93.0,9.0
68,512,0,14.0,6.0
68,512,1,32.0,4.0
68,512,2,71.0,3.0
68,256,0,99.0,8.0
69,256,0,40.0,12.0
70,1024,0,37.0,10.0
70,1024,1,68.0,8.0
70,512,0,68.0,11.0
70,256,0,37.0,14.0
70,256,1,90.0,11.0
71,1024,0,10.0,2.0
71,512,0,41.0,8.0
71,512,1,47.0,5.0
71,256,0,11.0,8.0
71,256,1,37.0,5.0
72,1024,0,48.0,12.0
72,512,0,14.0,14.0
72,512,1,90.0,13.0
72,512,2,92.0,12.0
72,256,0,14.0,14.0
72,256,1,90.0,13.0
73,1024,0,17.0,8.0
73,1024,1,53.0,5.0
73,512,0,31.0,22.0
