#trial,samples,#result,age,education-num
0,256,0,13.0,8.0
0,256,1,20.0,6.0
0,256,2,29.0,5.0
0,256,3,76.0,4.0
1,1024,0,8.0,6.0
1,1024,1,38.0,5.0
1,1024,2,40.0,3.0
1,512,0,27.0,14.0
1,512,1,48.0,7.0
1,256,0,3.0,6.0
1,256,1,10.0,4.0
1,256,2,80.0,3.0
2,1024,0,4.0,3.0
2,512,0,13.0,8.0
2,512,1,27.0,4.0
2,256,0,3.0,3.0
2,256,1,6.0,0.0
3,512,0,31.0,28.0
3,512,1,35.0,14.0
3,512,2,38.0,11.0
3,512,3,43.0,8.0
3,512,4,57.0,2.0
3,256,0,7.0,0.0
4,1024,0,10.0,3.0
4,512,0,10.0,3.0
4,512,1,38.0,0.0
4,256,0,9.0,15.0
4,256,1,10.0,8.0
4,256,2,38.0,4.0
4,256,3,51.0,2.0
5,1024,0,14.0,10.0
5,512,0,5.0,6.0
5,512,1,29.0,4.0
5,512,2,78.0,3.0
5,256,0,5.0,6.0
5,256,1,26.0,0.0
6,1024,0,41.0,28.0
6,1024,1,43.0,24.0
6,1024,2,50.0,11.0
6,1024,3,53.0,10.0
6,1024,4,71.0,8.0
6,1024,5,86.0,7.0
6,1024,6,91.0,6.0
6,512,0,20.0,7.0
6,512,1,35.0,6.0
6,512,2,53.0,4.0
6,256,0,13.0,14.0
6,256,1,50.0,12.0
6,256,2,73.0,10.0
6,256,3,75.0,8.0
6,256,4,85.0,4.0
7,256,0,19.0,7.0
7,256,1,75.0,6.0
7,256,2,77.0,4.0
8,1024,0,11.0,9.0
8,1024,1,17.0,4.0
8,1024,2,40.0,3.0
8,512,0,11.0,9.0
8,512,1,17.0,4.0
8,512,2,78.0,3.0
8,256,0,31.0,8.0
8,256,1,44.0,6.0
8,256,2,65.0,4.0
9,1024,0,27.0,14.0
9,1024,1,32.0,8.0
9,1024,2,82.0,6.0
9,512,0,7.0,9.0
9,512,1,11.0,8.0
9,512,2,14.0,7.0
9,512,3,34.0,6.0
9,512,4,36.0,4.0
9,256,0,14.0,1.0
10,1024,0,23.0,14.0
10,1024,1,63.0,11.0
10,1024,2,205.0,10.0
10,512,0,12.0,0.0
10,256,0,14.0,14.0
10,256,1,20.0,10.0
10,256,2,44.0,3.0
11,1024,0,28.0,9.0
11,1024,1,29.0,3.0
11,512,0,28.0,9.0
11,512,1,29.0,3.0
11,256,0,21.0,11.0
11,256,1,35.0,10.0
11,256,2,37.0,8.0
11,256,3,63.0,5.0
12,1024,0,1.0,0.0
12,512,0,1.0,0.0
12,256,0,7.0,8.0
12,256,1,14.0,4.0
12,256,2,42.0,3.0
13,1024,0,23.0,14.0
13,1024,1,35.0,10.0
13,1024,2,74.0,6.0
13,1024,3,162.0,5.0
13,512,0,11.0,10.0
13,512,1,70.0,8.0
13,256,0,6.0,1.0
14,1024,0,26.0,4.0
14,512,0,26.0,4.0
14,256,0,16.0,7.0
14,256,1,68.0,4.0
15,1024,0,10.0,2.0
15,512,0,10.0,2.0
15,256,0,22.0,14.0
15,256,1,43.0,12.0
15,256,2,105.0,11.0
16,1024,0,19.0,14.0
16,1024,1,22.0,10.0
16,1024,2,33.0,8.0
16,1024,3,98.0,6.0
16,512,0,5.0,14.0
16,512,1,22.0,10.0
16,512,2,30.0,8.0
16,512,3,140.0,6.0
16,256,0,6.0,2.0
17,1024,0,9.0,8.0
