#trial,samples,#result,age,education-num
0,300,0,6.0,2.0
0,300,1,12.0,0.0
0,100,0,2.0,0.0
0,30,0,9.0,0.0
1,300,0,1.0,0.0
1,100,0,1.0,0.0
1,30,0,22.0,5.0
2,300,0,4.0,2.0
2,300,1,17.0,1.0
2,300,2,19.0,0.0
2,100,0,4.0,0.0
2,30,0,4.0,0.0
3,300,0,4.0,0.0
3,100,0,1.0,1.0
3,100,1,3.0,0.0
3,30,0,21.0,3.0
4,1000,0,12.0,0.0
4,300,0,0.0,0.0
4,100,0,8.0,2.0
4,30,0,4.0,4.0
5,300,0,3.0,0.0
5,100,0,2.0,0.0
5,30,0,1.0,1.0
5,30,1,18.0,0.0
6,1000,0,1.0,0.0
6,300,0,1.0,0.0
6,100,0,3.0,0.0
7,1000,0,2.0,0.0
7,300,0,6.0,0.0
7,100,0,5.0,0.0
7,30,0,30.0,3.0
8,1000,0,9.0,0.0
8,300,0,9.0,0.0
8,30,0,15.0,0.0
9,300,0,9.0,1.0
9,300,1,17.0,0.0
9,100,0,2.0,0.0
9,30,0,10.0,1.0
10,1000,0,17.0,0.0
10,300,0,13.0,0.0
10,100,0,1.0,0.0
10,30,0,9.0,2.0
10,30,1,11.0,0.0
11,100,0,17.0,4.0
11,100,1,20.0,3.0
11,100,2,24.0,1.0
11,30,0,0.0,1.0
12,1000,0,11.0,0.0
12,300,0,6.0,0.0
12,100,0,3.0,2.0
12,100,1,14.0,1.0
12,30,0,1.0,2.0
12,30,1,14.0,1.0
13,1000,0,10.0,0.0
13,300,0,24.0,0.0
13,100,0,1.0,0.0
13,30,0,1.0,0.0
14,300,0,1.0,0.0
14,100,0,3.0,0.0
14,30,0,3.0,0.0
15,300,0,11.0,0.0
15,100,0,12.0,2.0
15,100,1,15.0,0.0
15,30,0,2.0,0.0
16,1000,0,14.0,0.0
16,300,0,7.0,1.0
16,300,1,14.0,0.0
16,100,0,1.0,0.0
16,30,0,9.0,2.0
17,1000,0,17.0,0.0
17,300,0,12.0,0.0
17,100,0,14.0,1.0
17,30,0,4.0,1.0
18,1000,0,2.0,0.0
18,300,0,1.0,0.0
18,100,0,1.0,0.0
19,300,0,7.0,0.0
19,100,0,3.0,0.0
19,30,0,1.0,1.0
19,30,1,3.0,0.0
20,1000,0,13.0,0.0
20,300,0,1.0,2.0
20,300,1,3.0,0.0
20,100,0,3.0,0.0
21,1000,0,17.0,0.0
21,300,0,7.0,2.0
21,100,0,7.0,3.0
21,100,1,9.0,1.0
21,30,0,15.0,3.0
