#trial,samples,#result,age,education-num
1,1024,0,9.0,6.0
1,1024,1,38.0,5.0
1,1024,2,40.0,3.0
1,256,0,3.0,6.0
1,256,1,26.0,4.0
2,1024,0,4.0,3.0
2,512,0,13.0,8.0
2,512,1,27.0,4.0
2,256,0,20.0,8.0
2,256,1,27.0,4.0
3,512,0,43.0,8.0
3,256,0,7.0,0.0
4,1024,0,15.0,8.0
4,1024,1,63.0,6.0
4,1024,2,65.0,4.0
4,512,0,10.0,3.0
4,256,0,10.0,8.0
4,256,1,77.0,4.0
5,1024,0,24.0,10.0
5,256,0,5.0,6.0
5,256,1,26.0,0.0
6,1024,0,50.0,16.0
6,1024,1,53.0,10.0
6,1024,2,71.0,8.0
6,1024,3,91.0,6.0
6,256,0,21.0,16.0
6,256,1,75.0,8.0
6,256,2,85.0,4.0
7,256,0,19.0,7.0
8,1024,0,13.0,12.0
8,1024,1,20.0,4.0
8,1024,2,40.0,3.0
8,512,0,11.0,9.0
8,512,1,17.0,4.0
8,256,0,54.0,15.0
8,256,1,56.0,8.0
9,512,0,32.0,8.0
9,512,1,45.0,5.0
9,256,0,14.0,1.0
